,apPCO1,apPCO2,apPCO3,apPCO4,impPCO1,impPCO2,impPCO3,impPCO4,ccPCO1,ccPCO2,ccPCO3,ccPCO4,EVIPCO1,EVIPCO2,EVIPCO3,EVIPCO4,lcPCO1,lcPCO2,lcPCO3,tempPCO1,tempPCO2,tempPCO3,rdsPCO1,rdsPCO2,rdsPCO3,rdsPCO4,strmsPCO1,strmsPCO2,strmsPCO3,strmsPCO4,tpPCO1,tpPCO2,tpPCO3,tpPCO4,HostGen1,HostGen2,HostGen3,EuclideanDIstPCA1,EuclideanDIstPCA2,Year,Hunting
KF906184_X139R1_WS_2009-05-01,-228.6135297,-90.09461365,-76.75881861,37.16065579,-0.377517111,-0.143426853,-0.077336627,0.09229423,-23.38328254,6.644923308,-12.81197171,0.146839938,-1144.605257,-297.9331526,319.904064,-118.1897625,-0.997439247,1.002004846,-0.052728537,-15.42814595,4.98692146,0.761816772,-0.410314846,-0.164416943,0.11535305,-0.091257589,-3.133624579,1.05600235,0.135414963,-0.52998543,-10304.34523,-3926.575305,-928.04642,3005.058464,NA,NA,NA,0.367070206,-0.127871263,2009,0
KF906189_X1058_WS_2010-01-01,43.80101785,201.2582966,-25.82854242,20.5209817,0.065795779,0.334414784,-0.029998601,0.062017909,6.781160598,-12.86345307,-0.795921065,-2.101500805,350.1049824,887.1459718,-42.33493542,-127.3171013,0.216586923,-0.087326044,-0.249882334,3.786852976,-12.88403389,-0.209800752,0.063842704,0.396279011,0.051970775,-0.069594856,0.253400404,-1.441574856,-0.126829475,-0.165867026,1597.974988,8972.891601,157.1544398,1590.989807,-0.062360361,0.775498455,0.070109898,-0.03780035,0.114107565,2010,1
X1130_WS_2010-27-02,-292.0613027,-112.2044015,-137.6145375,-46.38885231,-0.462884481,-0.169399477,-0.194845696,0.061471505,-20.72422743,2.958264275,-7.716291854,4.122550157,-1839.565747,-508.8287003,955.2662508,138.8320741,-0.620766063,0.213288379,-0.111537166,-19.5027131,5.179029266,-2.7521721,-0.472726751,-0.178900956,0.205134838,-0.023964728,-3.640647202,1.176238462,0.893251819,-1.043097366,-12381.08658,-4486.453352,-3999.743639,3562.214568,-0.430134456,-0.033673174,-1.276023109,0.346112319,-0.046593723,2010,1
X1131_WS_2010-24-02,273.8249532,-130.8287105,4.142096426,-79.02411634,0.397351798,-0.176655957,-0.072262806,-0.100069858,18.43798281,13.8614175,2.236246886,7.0336818,1496.190255,-851.0954828,74.93840825,471.5479533,0.410753316,0.086050073,0.366587571,10.39338422,4.373535706,-5.935333012,0.411685176,-0.172611173,0.051438048,0.1112714,2.827761252,1.174156085,0.890144385,0.025109607,10927.3635,-4784.041903,-3054.947909,-1524.023634,0.863875259,-0.116462432,0.222278414,-0.3030608,-0.033415591,2010,1
X1341_WS_2010-12-11,76.56856567,274.7610625,-80.20806052,-12.07041041,0.104861216,0.391293533,-0.102756937,0.07016644,12.33723563,-20.72161633,-5.420820734,0.740283225,652.2330666,1773.296296,429.8457629,35.34046978,0.576152972,-0.061771557,-0.556114123,3.181599745,-9.791433164,-0.499198738,0.104496584,0.402033832,0.113484435,-0.045688384,0.616254833,-3.593985387,0.165476642,-0.82017518,2661.276464,10955.39397,-1593.947827,2864.281068,-1.082199358,1.092710334,0.109193936,-0.076813799,0.16684402,2010,1
X1368_WS_2011-11-01,78.83422017,291.3152536,-88.6205795,-16.33892928,0.106036974,0.406464419,-0.112230468,0.072280589,12.46468043,-22.00652577,-5.882015335,1.213052151,678.5120332,1954.469006,504.9235845,65.28226909,0.544092431,-0.070092787,-0.572132045,2.951300872,-9.456657903,-0.410954814,0.10582525,0.416822682,0.122766862,-0.045247138,0.619916877,-3.829378174,0.205739592,-0.940269128,2687.170046,11397.47121,-1804.594723,3041.493055,-0.190706313,0.283324785,-0.058029352,-0.076940621,0.173574292,2011,1
X1370_WS_2011-20-01,-302.4999847,-119.2474098,-155.4112847,-51.62153721,-0.466941202,-0.174180823,-0.208607659,0.067471258,-24.13710494,4.168525102,-10.69409453,5.799442108,-1909.174615,-541.126246,1080.072901,154.8193541,-0.695003875,0.279763321,-0.126013241,-20.02587895,5.665255746,-3.102850714,-0.490276323,-0.189597729,0.23178952,-0.028296709,-3.762413905,1.253609329,1.008419796,-1.262364325,-12700.03847,-4710.818664,-4415.134833,4027.118128,-0.30967221,-0.652543255,-0.152191379,0.34979698,-0.048432834,2011,1
X1380_WS_2011-09-02,270.9930296,-120.1842611,1.15769656,-94.03728304,0.398132611,-0.165400426,-0.084701741,-0.110503647,16.07458332,10.83453506,1.906399514,6.134564078,1448.159795,-763.842631,83.70796847,513.3703722,0.414507147,0.081125362,0.345584791,10.81646258,4.189949572,-6.761862502,0.409734709,-0.158424508,0.060818378,0.120296646,3.227485578,1.210615158,1.301139104,0.178480176,10971.32207,-4491.649157,-3513.463788,-1668.860558,-0.916921193,0.006868081,-0.085529536,-0.312293156,-0.018620731,2011,1
X1382_WS_2011-01-02,-200.4303868,54.58413732,259.8539095,-75.2880065,-0.271640162,0.093188841,0.210646736,-0.25805891,-18.75481656,-6.506555262,27.43614835,1.550572506,-1054.330206,194.4223387,-1018.342261,439.7586319,-0.784706567,-1.286668809,0.229811794,-3.433367621,-4.399732444,2.545654728,-0.305577472,0.096128787,-0.291136434,0.252757941,-1.545014759,-0.404182521,-0.112875394,1.645523487,-7187.685525,2191.246756,2126.357218,-8542.232314,NA,NA,NA,0.218715344,0.099625357,2011,1
X1647_WS_2012-23-01,242.4420696,-121.6369423,9.622656934,1.028696076,0.35607672,-0.165572709,-0.017647661,-0.037557872,14.56710363,11.22192899,1.604897486,1.961334962,1295.001069,-762.2687745,6.499316989,66.47906764,0.36132417,0.079052185,0.335188336,9.533448149,4.427626533,-3.997370178,0.507705443,-0.240819986,0.026866,0.095329839,2.232403377,0.998790128,0.308850579,-0.13993637,9760.377954,-4476.543725,-943.791791,-604.6546025,NA,NA,NA,-0.270456319,-0.0596773,2012,1
