Row Labels,Individual
KF906184_X139R1_WS_2009-05-01,1
KF906189_X1058_WS_2010-01-01,2
X1130_WS_2010-27-02,3
X1131_WS_2010-24-02,4
X1341_WS_2010-12-11,5
X1368_WS_2011-11-01,6
X1370_WS_2011-20-01,7
X1380_WS_2011-09-02,8
X1382_WS_2011-01-02,9
X1647_WS_2012-23-01,10
X1650_WS_2012-18-01,11
X1652_WS_2012-24-02,12
X1662_WS_2013-02-01,13
X1665R1_WS_2014-27-03,14
X1668_WS_2013-04-02,15
X1669_WS_2013-07-02,16
X1691_WS_2014-12-02,17
X1692_WS_2014-10-02,18
X285_WS_2008-21-02,19
X388_WS_2008-15-12,20
X686_WS_2009-27-03,21
X879_WS_2009-21-05,22
